Title,Description,IS_Scam
Customer Service Representative,"SUMMARYResponsible for acting as a liaison between customers and companies. Assists with complaints, orders, errors, account questions, billing, cancelations, and other queries.PRIMARY RESPONSIBILITIESResolve customer complaints via phone, email, mail, or social media.Use telephones to reach out to customers and verify account information.Greet customers warmly and ascertain problem or reason for calling.Cancel or upgrade accounts.Assist with placement of orders, refunds, or exchanges.Advise on company information.Take payment information and other pertinent information such as addresses and phone numbers.Place or cancel orders.Answer questions about warranties or terms of sale.Act as the company gatekeeper.Suggest solutions when a product malfunctions.Handle product recalls.Attempt to persuade customer to reconsider cancellation.Inform customer of deals and promotions.Sell products and services.Utilize computer technology to handle high call volumes.Work with customer service manager to ensure proper customer service is being delivered.Close out or open call records.",1
Social Media Marketing,"Selected intern's day-to-day responsibilities include:

1. Manage Instagram, LinkedIn, Facebook, and Twitter for program updates.
2. Share success stories, student progress, and volunteer experiences.
3. Create posters, videos & campaign posts.
4. Collaborate with institutions & schools for a wider reach.",0
Remote Data Entry Rep Needed,"We're looking for self-motivated individuals who are interested in working from home by performing online data entry work, and other types of work from home duties. . You can choose to work: Full-time, Part-time, Flexible, Temporary, or in a Permanent position. You will be able to select your position in: customer support, typing, data entry, email support and more.We have positions ranging from entry level with a starting pay at $12 per hour and up to six figure salary positions.These positions not only pay competitive wages, but also offer flexibility that will give you full control over your work schedule.Home Office SuppliesComputer with internet accessQuiet work area away from distractionsMust be able to work independently and get the job done with little guidance.Must Apply Online At: #URL_417276ac5438650aa78c2c58617f773cdb9494ed6a0d63447de07c782829a228#-#URL_6c4ffad8fe9cb38c2ae5c761c0028893f9ecfb299e88db7d5dd85e0b7ba65666#",1
Data Entry Office Support,"We are seeking individuals to be connected with companies who are hiring employees directly to work from their homes. You will find both full-time and part-time opportunities in a variety of career fields including but not limited to: data entry, customer support, billing, typing, and administrative.These positions guarantee wages ranging from $12 per hour up to six figure salary. This includes bonuses, benefits, and flexibility over your work schedule.Legitimate work from home jobs are going to require that you have skills relevant to the position you’re applying for. Training is provided based on the position.",1
 Hiring for Business Intelligence and Analytics Project Manager,"Position :Manager, Software DevelopmentJob Type : Full TimeJob Location : Washington–Bellevue Us work status required : H1B,EAD ,Green Card,US Citizens Qualifications     Minimum 8 years’ experience in an Analytics and Business Intelligence development environmentMinimum 5 years’ experience managing or supervising a team of 15 developers or more.Demonstrated skills in the Microsoft SQL Server2008/2012 suite including SQL Server Relational Database Management System Proven T-SQL and MDX development skills SQL Server Integration Services (SSIS), SQL Server Analysis Services (SSAS), SQL Server Reporting Services (SSRS)Ability to work effectively in a fast-paced environmentSelf-starter with a high degree of self-management and commitment to delivery timelinesDemonstrated experience in delivering self-service BI solutions.Proven interpersonal, communication and presentation skillsAbility to clearly explain technical concepts and analysis implications to a wide audienceStrong skills in coding, troubleshooting, debugging, and relational and dimensional data modelingStrong understanding of relational database structures, theories, principles, and practicesComprehensive data warehouse analysis and design experience, with full knowledge of data warehouse methodologies and data modelingDesired Familiarity with SAP HANA, Hadoop, and Teradata preferred.Familiarity with Microsoft SharePoint and SharePoint’s BI tools preferred, including: PerformancePoint Services, Excel Services and cloud based BI solutions.Education Minimum Required  Bachelor’s Degree. Computer Science or in a computer programming related fieldResponsibilities    Enterprise Core CompetenciesRequires competency in customer focus, change &amp; innovation, strategic thinking, relationship building &amp; influencing, talent management, results focus and inspirational leadership.Essential Functions Customer focus, change &amp; innovation, strategic thinking, relationship building &amp; influencing, talent management, results focus and inspirational leadership.Experience with demand planning, inventory management, forward &amp; reverse logistics or delivering software solutionsExpert level data modeling and ETL skills, metadata management &amp; data quality concepts, knowledge of industry best practices, and a deep understanding how data is extracted, transformed, scrubbed and loaded in a large DW environment with data originating from many source systems.Monitor and measure work tasks to ensure deliverables are provided on time and within budgetDesign and lead Business Intelligence technology proof of conceptsCollaborate with business/systems analysts and developers on the efficient use of BI and  visualization tools.Manage technical relationships with assigned vendors, including driving features and function requests for inclusion in future product releases.Experience working with HANA and familiarity with Big Data / Hadoop platform.",1
E-Commerce Operations,"Are you a savvy e-commerce enthusiast with a knack for Shopify? Axe Consultancy And Security Services LLC is seeking a dynamic E-Commerce Operations intern to join our team! As an intern, you will have the opportunity to gain hands-on experience in managing our online store and optimizing customer experience. 

Key Responsibilities:
1. Assist in maintaining and updating product listings on Shopify platform
2. Monitor, analyze, report website traffic and performance metrics
3. Assist in order fulfillment and inventory management
4. Conduct market research to identify trends and opportunities
5. Support in the development of strategies to drive online sales growth

If you are a detail-oriented individual with a passion for e-commerce and a strong understanding of Shopify, we want to hear from you! Join us and take your first step towards a rewarding career in the e-commerce industry. Apply now!",0
 Onshore Scaffolding Coordinator,"DescriptionThe Onshore Scaffolding Coordinator is responsible for the onshore coordination and planning of offshore scaffolding activities associated with all planned work associated with Capital Projects, AIM’s and the Shutdown. The purpose of this role is to capture, integrate and optimise planned work Offshore based on scaffolding considerations in order to reduce overall offshore work load, avoid clashes and re-work, and assist the planning team in optimising scheduling of work activities.The Onshore Scaffolding Coordinator is responsible to maintaining plot plans and registers showing the planned and existing locations of scaffolds (by week); looking for opportunities to combine scaffolds and adjust the timing of work to match optimisation of scaffolding activities; assist in managing workfront clashes; and track, report and forecast offshore scaffolding activities to ensure that all work schedules will be met.The Coordinator will work closely with all other shutdown functional groups to ensure the highest degree of integrated planning is achieved prior to execution, taking into consideration existing business practices where ever possible. The Coordinator will utilise existing approved processes and standards.About Expro:Expro provides services and products that measure. We improve, control and process flow from high-value oil and gas wells, from exploration and appraisal through to mature field production optimisation and enhancement.With a specific focus on offshore, deepwater and other technically challenging environments, we provide a range of mission critical services across three key areas:Well Test &amp; Appraisal ServicesSubsea, Completion &amp; Intervention ServicesProduction ServicesOur vision is to be the market leader in well flow management, using the industry’s best people, to deliver the highest standards of safety, quality and personalised customer service.We provide a range of solutions including:Exploration &amp; Appraisal TestingSubsea Safety SystemsDrilling &amp; CompletionFlowback &amp; Clean-upProductionWell Integrity &amp; InterventionExpro’s 40+ years of experience and innovation empowers the company to offer tailor-made solutions for customers across the energy sector. With over 5,400 employees in over 50 countries, Expro offers a truly global service solution.",1
Embedded Systems,"Selected intern's day-to-day responsibilities include: 

1. Assist in developing firmware for microcontrollers
2. Interface sensors, displays, actuators using  UART, I2C, SPI, PWM, ADC
3. Help design, prototype, and test  embedded  circuits
4. Work with tools like  multimeters, logic analyzers, oscilloscopes
5. Collaborate with firmware, hardware, and product teams for fast iteration
6. Document experiments, test results, and findings in a structured way",0
Project Controls Technician,"Essential Duties and Responsibilities:* Assist in developing the engineering cost estimate per Job Definition Document.* Develop the project schedule in alignment with the scope.* Able to understand and comprehend the major process steps involved in the project.* Understand standard project deliverables such as: Process Flow Diagram, PID, Area classification drawing, electrical one-line drawing, etc., and major tasks involved in generating each deliverable.* Assist in developing the project execution plan.* Interface with the client and develop rapport.* Monitor and track project budget and schedule.* Perform budget and schedule variance analysis at set intervals during the project execution phase to help project leads and clients track the project progress. Investigate project cost and schedule variances.* Effective communication skills - with the client and interdiscipline personnel within the company.* Perform earned man-hours calculations to estimate the real progress of the project.* Follow and implement standard project procedures per Project Procedure Manual.* Soft skills to interact with multidiscipline technical staff and promote team spirit to execute the project successfully.* Generate project reports, weekly work plans, etc.* Generate Design change orders for applicability to cost and schedule control, both with respect to original scope and fees.* Assist in project closeout with project leads.",1
Front End Development,"Selected intern's day-to-day responsibilities include: 

1. Build modern, responsive, and visually stunning web applications.  
2. Collaborate with cross-functional teams to design and implement features that deliver an exceptional user experience.  
3. Develop responsive and user-friendly web applications using HTML, CSS, and JavaScript (React, Angular, etc.).  
4. Collaborate with UI/UX designers to translate design concepts into functional, high-quality code.  
5. Optimize applications for speed and scalability.  
6. Write clean, maintainable, and efficient code following best practices.  
7. Work closely with backend developers to integrate APIs and other server-side technologies..",0
