Title,Company,Location,Stipend,Duration,Description,IS_Scam
N/A,N/A,N/A,N/A,N/A,N/A,0
International Customer Service: The Coolest Weekend Internship,Concentrix,Hyderabad,"₹ 13,000 lump sum",1 Week,"The coolest weekend internship is here!

Get a chance to work with one of the most iconic brands, interact with international customers, and earn a prestigious certificate and a stipend of    13,000/- that turns heads. And yes, free food, snacks, and beverages too!

All of this in a 8-day weekend internship as per the following schedule:

Onboarding & training (can be in any shift - day shift or the evening shift): 

1. 28th July /13th August (Mon - Fri, onboarding)
2. 17th August (Sun, training)
3. 24th  August (Sun, training)
4. 30th & 31st August (Sat & Sun, training)

Production i.e. actual working (night shift):

1. 7th September (Sun)
2. 14th September(Sun)
3. 21st September (Sun)

What will you do in the internship: 

1. Provide excellent customer service over the phone.
2. Adhere to program-defined quality standards.
3. Stay informed about the latest information and updates.
4. Perform tasks related to voice profiles.

Since the internship requires interacting with international clients, you must possess excellent English-speaking skills. 

You must be comfortable with either the day shift or the evening shift on the training and onboarding dates and night shifts (only) on the production dates. Also, you would need to clear the training to proceed further with the production phase.

The internship location would be in Hyderabad. Please apply to this internship ONLY if you are available on the above dates and shifts and can arrange for your own transport to the office. Other than the stipend, no cab allowance would be provided. Free food/snacks and beverages would be available during cafeteria operating hours.",0
Digital Marketing,Befach,Hyderabad,"₹ 10,000 /month",3 Months,"Are you a savvy digital marketer looking to gain hands-on experience in the industry? Befach company is seeking a dynamic Digital Marketing intern to join our team! 

As a Digital Marketing intern, you will have the opportunity to work on exciting projects and campaigns while learning from experienced professionals. Your responsibilities will include:

1. Assisting in the development and implementation of social media marketing strategies.
2. Managing and optimizing search engine marketing campaigns.
3. Conducting keyword research and implementing SEO best practices.
4. Creating engaging content for Facebook and Instagram marketing campaigns.
5. Writing compelling copy for email marketing campaigns.
6. Analyzing campaign performance and providing actionable insights.
7. Collaborating with the team to brainstorm new ideas and strategies.

If you have a passion for digital marketing, excellent English proficiency, and a desire to learn and grow in a fast-paced environment, we want to hear from you! Join us at Befach and take the first step towards a successful career in digital marketing.",0
Digital Marketing,EConnectMobi,Jamshedpur,"₹ 5,000 - 8,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Work with ad/media network publishing partners, set up and manage ongoing communication with publishers (domestic & overseas)
2. Manage partner needs, including negotiate deals, track reports, and provide setup information
3. Provide continual feedback to support the media sales team in selling advertising across the network
4. Review new potential offers and provide feedback, act as an interface with operations, accounting, technology, and sales
5. Recruit target publishers into the media network and maintain ongoing communication with member sites around content or ad campaigns, identify new network members
6. Guide new publisher account managers, maintain long-term business relationships with customers, and participate in retention drives
7. Implement your learning in your work to add value to the business",0
Fashion Design Business Development,UCTC - Universal Classic Tshirts Company,Pune,"₹ 13,000 - 15,000 /month",6 Months,"Are you passionate about fashion and looking to kickstart your career in business development? UCTC - Universal Classic Tshirts Company is seeking a talented Fashion Design Business Development intern to join our team! As an intern, you will have the opportunity to work closely with our clients, gaining valuable hands-on experience in the world of corporate fashion.

Selected intern's day-to-day responsibilities include: 

1. Communicate with clients to understand requirements for Corporate Apparel
2. Arrange product demos & work to close the deals
3. Assist in managing social media accounts and creating engaging content to attract customers.
5. Create product mockups, new product brochures, and print files
6. Provide support to the business development team and assist with day-to-day tasks as needed.

If you have a keen eye for design, a passion for sales, and a knack for graphic design, then we want to hear from you! Join us at UCTC and take the first step towards a successful career in corporate fashion. Apply now and unleash your creativity with us!",0
Business Development (Sales),Think Que Consulting Private Limited,Ahmedabad,"₹ 7,000 - 10,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Manage and convert leads for various online programs.
2. Counsel prospective learners by providing in-depth information via phone, email, chat, and social media.
3. Identify and generate referrals from the existing customer base to expand the sales pipeline.
4. Update lead discussions and conversion details in real-time using CRM software.
5. Ensure adherence to the inside sales process, tools, and data management protocols.
6. Achieve and exceed weekly, monthly, and quarterly targets in revenue and enrolments.
7. Handle objections and conduct price negotiations to drive sales revenue.
8. Maintain consistent and effective communication with learners until onboarding is complete.",0
International Customer Service: The Coolest Weekend Internship,Concentrix,Bangalore,"₹ 13,000 lump sum",1 Week,"The coolest weekend internship is here!

Get a chance to work with one of the most iconic brands, interact with international customers, and earn a prestigious certificate and a stipend of    13,000/- that turns heads. And yes, free food, snacks, and beverages too!

All of this in a 8-day weekend internship as per the following schedule:

Onboarding & training (can be in any shift - day shift or the evening shift): 

1. 28th July/13th August (Mon - Friday, onboarding)
2. 17th August (Sun, training)
3. 24th August (Sun, training)
3. 30th & 31st August (Sat & Sun, training)

Production i.e. actual working (night shift):

1. 7th September (Sun)
2. 14th September(Sun)
3. 21st September (Sun)

What will you do in the internship: 

1. Provide excellent customer service over the phone.
2. Adhere to program-defined quality standards.
3. Stay informed about the latest information and updates.
4. Perform tasks related to voice profiles.

Since the internship requires interacting with international clients, you must possess excellent English-speaking skills. 

You must be comfortable with either the day shift or the evening shift on the training and onboarding dates and night shifts (only) on the production dates. Also, you would need to clear the training to proceed further with the production phase.

The internship location would be in Bangalore. Please apply to this internship ONLY if you are available on the above dates and shifts and can arrange for your own transport to the office. Other than the stipend, no cab allowance would be provided. Free food/snacks and beverages would be available during cafeteria operating hours.",0
Telecalling - Female,Kunal Group Of Realtors,Pune,"₹ 10,000 - 22,000 /month",3 Months,"Are you a dynamic individual with exceptional communication skills in Marathi, English, and Hindi? Do you have a passion for real estate and sales? Join us as a Telecalling intern at Kunal Group of Realtors and kickstart your career in the exciting world of real estate! 

Key responsibilities:

1. Conduct outbound calls to potential clients to promote our real estate services.
2. Follow up with leads and schedule appointments for the sales team.
3. Provide excellent customer service by addressing inquiries and resolving any issues.
4. Maintain accurate records of all interactions in the CRM system.
5. Collaborate with the marketing team to create engaging scripts and promotional materials.
6. Stay updated on market trends and new property listings to provide accurate information to clients.
7. Assist in organizing and attending virtual property tours for clients.

If you are a proactive and results-driven individual looking to gain hands-on experience in the real estate industry, apply now and be a part of our dynamic team!",0
Architecture,TOD Innovations Private Limited,Delhi,"₹ 10,000 - 10,001 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Assist senior architects in preparing project drawings, layouts, and working drawings using CAD and other design tools
2. Support the design team in conceptual development, including research, mood boards, and 3D modeling
3. Participate in design review meetings and presentations with lead designers and clients
4. Make revisions based on feedback from the design team and senior architects
5. Help coordinate design documents and maintain organized records of project files",0
Sales and Marketing,ChemStride,Mumbai,"₹ 5,000 - 8,000 /month",6 Months,"We are a 12-year-old reputable company involved in the import and export related industrial products based out of Mulund, Mumbai. We are a forward-thinking and tech-savvy organisation. Having a very close relationship with Indian companies (corporates, SME, MNCs, and others) and also with Asian countries like China, Korea, Taiwan, UAE, Japan, Thailand, and many others. Now aiming to expand into Europe, Russia, the UK, the USA, and other markets. Lots of learning and high-growth-oriented corporate and global exposure are available for interns. Most interns who work with us for six months say after completion, ""We learnt more here than in a B-school MBA that charges 30-40 lakhs for the course! ""

Selected intern's day-to-day responsibilities include: 

1. Increasing our sales and marketing, which can help them to polish their skill set to a high level.  
2. Analysing data & doing sales and marketing activities.
3. Coordinating with internal teams, suppliers, and clients via email, phone, and Chat, etc.  
4. Maintaining records, documentation, and follow-up reports. Experimenting with new AI tools to learn and leverage.
5. Assisting in handling product inquiries, shipment updates, etc.
6. Supporting seniors/colleagues in the execution of day-to-day operations.

Please note: This decent job profile is for female candidates for an in-office internship for a sales and marketing profile.  This is inside office work and not a field job.",0
Company Secretary (CS),KNSG & CO LLP,Delhi,"₹ 7,000 - 12,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Assisting with MCA-related tasks, including company incorporation, amendment of AOA/MOA, charge filing, and annual return and accounts filing
2. Performing accounting work using accounting software
3. Liaising with clients for documentation and compliance coordination",0
N/A,N/A,N/A,N/A,N/A,N/A,0
Operations Manager/Account Manager In Marketing Agency,Uplift Communication,Ahmedabad,"₹ 5,000 - 7,000 /month",4 Months,"Department: Client Servicing/Operations
Reports To: Director/Agency Head

We are looking for a proactive and people-oriented Operations Manager / Account Manager to join our growing digital marketing agency. This role bridges the gap between clients and the internal team, ensuring seamless communication, timely task execution, and exceptional client satisfaction. You will be responsible for understanding client needs, assigning tasks to the right team members with management approval, tracking progress, ensuring timely delivery, and maintaining strong relationships with both clients and team members.

Selected intern's day-to-day responsibilities include:

A. Client management:
1. Understand the needs, goals, and expectations of clients across various digital marketing projects.
2. Act as the key point of contact for clients, ensuring clear and timely communication.
3. Submit project deliverables to clients after internal review and head approval.
4. Build and maintain strong, long-term relationships to ensure client satisfaction and retention.

B. Task coordination & team management:
1. Allocate project tasks to the appropriate team members with prior permission from the head.
2. Monitor project timelines and ensure timely follow-up on task completion.
3. Maintain a transparent task dashboard and regularly update internal progress reports.
4. Coordinate with different departments (design, content, SEO, paid ads, etc.) to ensure alignment on client deliverables.
5. Motivate and encourage the team to perform at their best and meet deadlines.

C. Internal & strategic communication:
1. Act as a communication bridge between the agency head, internal teams, and clients.
2. Escalate issues, risks, or delays to the management proactively.
3. Participate in internal review meetings and contribute to improving workflows and team performance.

Requirements:

1. Bachelor's degree in marketing, business, communications, or a related field.
2. Strong understanding of digital marketing services (SEO, SMM, PPC, Content Marketing, etc.).
3. Excellent communication, interpersonal, and problem-solving skills.
4. Strong organizational and time-management abilities.
5. Ability to handle multiple client accounts and prioritize tasks effectively.
6. A team player with a positive attitude and leadership qualities.

Preferred Skills:

1. Experience with project management tools (e.g., Trello, Asana, ClickUp).
2. Familiarity with CRM and reporting software.
3. Basic understanding of Google Workspace (Docs, Sheets, Slides) and Microsoft Office tools.

Why Join Us?

1. Creative and growth-driven work environment
2. Opportunity to work with a diverse set of clients
3. Scope for leadership and career advancement
4. Energetic, supportive team culture",0
Business Psychology Associate,Merai Insight Consulting LLP,Mumbai                                                                (Hybrid),"₹ 10,000 - 15,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Assist in researching differences in workplace behavior, communication styles, and motivational factors
2. Help develop training materials and workshop content based on psychological principles
3. Support the analysis of client needs and customize psychological frameworks accordingly
4. Participate in client interactions and presentations under the founder's guidance
Contribute to measuring the effectiveness of our interventions through appropriate metrics
5. Help document case studies and success stories for future reference",0
Content and Social Media Marketing,Cognibee Media Private Limited,Hyderabad                                                                (Hybrid),"₹ 10,000 - 16,000 /month",6 Months,"We're looking for a marketing intern who lives and breathes visual content, storytelling, and reels that convert. This isn't a ""social media handling"" role. This is a content battlefield.

You'll work closely with our founders to:
1. Build high-trust Instagram content
2. Convert viewers into leads
3. Design stories that feel like poetry and sell like magic

Selected intern's day-to-day responsibilities include:

1. Create 4+ high-quality posts weekly
2. Engage daily with aligned accounts
3. Execute our content calendar, not just suggest ideas
4. Send 1 weekly performance report",0
Business Development (Sales),ADORE,Kolkata,"₹ 4,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Work and implement various programs and assignments to help the management.
3. Coordinate meetings and communications between different teams and projects.
4. Plan, prepare, and deliver presentations on behalf of the team.
5. Monitor and organize the growth of teams and activities.
6. Work on marketing, promotion, concept development, and planning.
7. Develop centers, networks, and speakers (approach schools, colleges, and colleagues/friends).
8. Handle any other responsibilities for the growth of the organization.
9. Conduct online sessions with children.

Note: Apply only if you can come to the office every day and agive 6 hours",0
Supply Chain & Logistics Operations,Flipspaces,Mumbai,"₹ 9,000 - 10,000 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Coordinate with vendors for timely delivery and quality assurance for goods.
2. Organise and oversee collection of material samples.
3. Ensure proper documentation and labeling of samples. 
4. Travel within city as required for vendor meetings, material collection, and other operational activities.
5. Maintain accurate records and reports in Excel.",0
Telecalling,Hair Originals,Gurgaon,"₹ 10,001 - 15,002 /month",3 Months,"Hair Originals is a premium hair extensions brand committed to enhancing natural beauty with high-quality products. As a growing company, we are looking for passionate individuals to join our dynamic  sales  team. We are seeking enthusiastic and driven female candidates to join our  sales  team as  Sales  Development Representatives. This role involves engaging with potential customers, understanding their needs, and guiding them through our product offerings.

Selected intern's day-to-day responsibilities include:

1. Lead engagement:  Reach out to potential customers who have expressed interest through our website or other channels.
2. Product demonstrations:  Conduct video consultations to showcase our products and understand customer needs.
3. Appointment scheduling:  Coordinate home trials or visits to our experience center based on customer preferences.
4. CRM management:  Maintain accurate records of customer interactions and feedback in our CRM system.
5. Collaboration:  Work closely with the  sales  and marketing teams to develop strategies for customer acquisition and retention.
6. Market research:  Gather insights on customer preferences and market trends to inform  sales  strategies.",0
AI Agent Development,Risee,Work from home,"₹ 5,000 - 10,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Build, test, and optimize multi-agent systems using frameworks like CrewAI, LangGraph, and LangChain.
2. Design autonomous agent workflows with tools like n8n and LangChain Expression Language (LCEL).
3. Use Pydantic AI to define agent schemas, context managers, and validation pipelines.
4. Connect LLMs (OpenAI, Ollama, Mistral, etc.) with tools, memory, vector stores, and real-world actions.
5. Develop agent teams to collaborate on complex tasks like document parsing, job matching, data reconciliation, and API orchestration.
6. Integrate and orchestrate AI agents with external APIs, databases (e.g., Supabase, PostgreSQL), and cloud services.
7. Collaborate with cross-functional teams, including product, engineering, and design to scope and refine use cases.
8. Create documentation, prompt templates, test cases, and workflow demos for different agent setups.

Required Skills:

1. Solid understanding of Python and asynchronous programming (asyncio, aiohttp, etc.).
2. Familiarity with LangChain, CrewAI, or similar agentic/LLM frameworks.
3. Hands-on experience with n8n or any automation/orchestration tool (Zapier, Airflow, etc.).
4. Knowledge of prompt engineering, tool calling, and memory integration in LLM pipelines.
5. Comfortable working with REST APIs, Webhooks, and JSON-based data models.
Basic experience with Git and collaborative development.",0
Content Writing,Bug Aetherium,Work from home,"₹ 1,000 - 1,500 /month",6 Months,"Do you love crafting content that informs, inspires, and drives engagement? Can you break down complex topics into clean, compelling narratives? If yes, you'll fit right in.
BUG Aterium is looking for a Content Writer Intern to help shape our brand voice and drive growth through high-quality, high-impact content across web, social, and thought leadership channels.

Selected intern's day-to-day responsibilities include:

1. Write crisp, engaging content for blogs, landing pages, product descriptions, and email campaigns
2. Create impactful copy for LinkedIn and other social media platforms
3. Work closely with design and marketing teams to build cohesive campaigns and
storytelling
4. Conduct light research and transform insights into clear, actionable content
5. Support with case studies, newsletters, internal documentation, and more
6. Maintain a consistent tone and style aligned with our brand values

Why BUG Aterium?

We are building something meaningful and scalable. At Bug Aeterium, you won't just write, you'll help tell stories that matter. This is your chance to grow in a content-first environment that values clarity, creativity, and ownership.",0
Content Writing,NoFeeSwap,Work from home,"₹ 30,000 - 40,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Working on writing scripts, content, and blogs
2. Developing creative content on various assigned topics
3. Managing all the work provided by the company

Job offer: On successful conversion to a permanent employee, the candidate can expect a higher salary.",0
Human Resources (HR),FTA Global,Work from home,"₹ 10,000 - 15,000 /month",4 Months,"Are you a passionate and driven individual looking to jumpstart your career in Human Resources? Look no further! Join our team at FTA Global, a leading global company, as an HR Intern and gain hands-on experience in Recruitment, Talent Management, and Cold Calling. 

Selected intern's day-to-day responsibilities include:

1. Assist in sourcing and screening candidates for various job openings within the organization.
2. Coordinate and schedule interviews with potential candidates and hiring managers.
3. Support the talent management team in employee onboarding and offboarding processes.
4. Conduct cold calling to potential candidates to promote job opportunities and attract top talent.
5. Assist in organizing and attending job fairs and recruitment events to network and build relationships.
6. Help in maintaining accurate and up-to-date records of candidate information in the HR database.

If you are a proactive self-starter with excellent communication skills and a passion for HR, apply now and kickstart your career with FTA Global!",0
Media & Public Relations (PR),Creative Platforms LLP,Work from home,"₹ 8,000 - 15,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

A. Website & Social Media Updates
1. Support website updates - new content, casting calls, artist portfolios, etc.
2. Help manage and update our social media handles (Instagram, LinkedIn, etc.).
3. Brainstorm and draft relevant, engaging content aligned with current campaigns.
4. Coordinating with the developer team on a need-based basis. 

B. Talent Outreach & Artist Coordination
1. Reach out to models, actors, and influencers through cold calls and follow-ups (WhatsApp, email, calls).
2. Explain platform benefits and assist with onboarding and registration.
3. Coordinate with artists across pre-production, shoot, and post-production stages.
4. Answer queries about auditions, profiles, or platform navigation.
5. Maintain outreach logs and conversion data in Google Sheets/Excel.

C. Production Assistance
1. Assist in shoot planning, casting calls, and artist scheduling.
2. Support on-ground shoot logistics (talent check-ins, props, basic setup).
3. Liaise with crew members like stylists, photographers, and location partners.
4. Prepare basic documents like PPM dockets, moodboards, and shoot decks.
5. Contribute to basic accounts and documentation across all production stages.",0
Operations,ClrSlate Tech Labs Private Limited,Work from home,"₹ 10,000 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Assist in day-to-day HR operations including onboarding, documentation, and employee record management.
2. Help prepare financial summaries and operational reports for internal review.
3. Participate in meetings, take minutes, and follow up on assigned action items.
4. Streamline business operations processes across departments for efficiency.
5. Coordinate with finance for invoice tracking, vendor payments, and expense management.
6. Manage travel bookings and logistics for internal and external events.
7. Conduct business research and benchmarking for operational improvements.",0
